id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_2_175_WI_1_evaluation,137.0,22.0,27.0,0.4166666666666667,523.0,champion
FOODS_2_181_WI_1_evaluation,179.0,12.0,119.0,0.08333333333333333,509.0,champion
FOODS_2_195_WI_1_evaluation,67.0,9.0,22.0,0.25,31.0,champion
FOODS_2_196_TX_1_evaluation,52.0,1.0,47.0,0.08333333333333333,82.0,champion
FOODS_2_197_WI_1_evaluation,105.0,5.0,80.0,0.08333333333333333,241.0,champion
FOODS_2_198_CA_1_evaluation,58.0,4.0,38.0,0.25,74.0,champion
FOODS_2_199_CA_1_evaluation,101.0,9.0,56.0,0.3333333333333333,133.0,champion
FOODS_2_208_CA_1_evaluation,118.0,13.0,53.0,0.25,96.0,champion
FOODS_2_220_WI_1_evaluation,116.0,7.0,81.0,0.16666666666666666,262.0,champion
FOODS_2_221_CA_1_evaluation,151.0,18.0,61.0,0.25,185.0,champion
FOODS_2_223_TX_1_evaluation,67.0,3.0,52.0,0.08333333333333333,35.0,champion
FOODS_2_228_WI_1_evaluation,22.0,0.0,22.0,0.0,14.0,champion
FOODS_2_230_TX_1_evaluation,65.0,2.0,55.0,0.08333333333333333,31.0,champion
FOODS_2_238_TX_1_evaluation,52.0,2.0,42.0,0.08333333333333333,32.0,champion
FOODS_2_239_WI_1_evaluation,68.0,7.0,33.0,0.25,26.0,champion
FOODS_2_241_TX_1_evaluation,152.0,6.0,122.0,0.16666666666666666,312.0,champion
FOODS_2_247_WI_1_evaluation,115.0,0.0,115.0,0.0,385.0,champion
FOODS_2_250_TX_1_evaluation,36.0,0.0,36.0,0.0,28.0,champion
FOODS_2_250_WI_1_evaluation,85.0,12.0,25.0,0.3333333333333333,39.0,champion
FOODS_2_270_WI_1_evaluation,56.0,0.0,56.0,0.0,0.0,champion
FOODS_2_274_CA_1_evaluation,86.0,0.0,86.0,0.0,78.0,champion
FOODS_2_276_CA_1_evaluation,499.0,0.0,499.0,0.0,1049.0,champion
FOODS_2_290_WI_1_evaluation,132.0,1.0,127.0,0.08333333333333333,138.0,champion
FOODS_2_307_WI_1_evaluation,236.0,4.0,216.0,0.08333333333333333,332.0,champion
FOODS_2_313_TX_1_evaluation,31.0,2.0,21.0,0.08333333333333333,17.0,champion
FOODS_2_343_CA_1_evaluation,36.0,0.0,36.0,0.0,0.0,champion
FOODS_2_345_TX_1_evaluation,68.0,4.0,48.0,0.08333333333333333,68.0,champion
FOODS_2_349_WI_1_evaluation,111.0,10.0,61.0,0.16666666666666666,261.0,champion
FOODS_2_357_TX_1_evaluation,77.0,3.0,62.0,0.08333333333333333,157.0,champion
FOODS_2_360_CA_1_evaluation,904.0,0.0,904.0,0.0,0.0,champion
FOODS_2_363_TX_1_evaluation,50.0,3.0,35.0,0.16666666666666666,28.0,champion
FOODS_2_378_WI_1_evaluation,59.0,2.0,49.0,0.08333333333333333,97.0,champion
FOODS_2_380_CA_1_evaluation,231.0,0.0,231.0,0.0,121.0,champion
FOODS_2_383_TX_1_evaluation,45.0,0.0,45.0,0.0,51.0,champion
FOODS_2_383_WI_1_evaluation,90.0,7.0,55.0,0.16666666666666666,160.0,champion
FOODS_2_391_TX_1_evaluation,56.0,0.0,56.0,0.0,60.0,champion
FOODS_2_395_TX_1_evaluation,20.0,0.0,20.0,0.0,0.0,champion
FOODS_2_398_CA_1_evaluation,56.0,2.0,46.0,0.08333333333333333,88.0,champion
FOODS_2_398_WI_1_evaluation,307.0,36.0,127.0,0.3333333333333333,729.0,champion
FOODS_3_001_TX_1_evaluation,48.0,0.0,48.0,0.0,0.0,champion
FOODS_3_003_CA_1_evaluation,48.0,0.0,48.0,0.0,0.0,champion
FOODS_3_010_WI_1_evaluation,78.0,3.0,63.0,0.16666666666666666,148.0,champion
FOODS_3_011_WI_1_evaluation,105.0,5.0,80.0,0.08333333333333333,189.0,champion
FOODS_3_013_CA_1_evaluation,178.0,0.0,178.0,0.0,62.0,champion
FOODS_3_013_WI_1_evaluation,108.0,0.0,108.0,0.0,56.0,champion
FOODS_3_014_CA_1_evaluation,176.0,0.0,176.0,0.0,12.0,champion
FOODS_3_033_TX_1_evaluation,55.0,4.0,35.0,0.08333333333333333,29.0,champion
FOODS_3_036_CA_1_evaluation,64.0,0.0,64.0,0.0,40.0,champion
FOODS_3_036_WI_1_evaluation,40.0,1.0,35.0,0.08333333333333333,50.0,champion
FOODS_3_040_WI_1_evaluation,84.0,0.0,84.0,0.0,0.0,champion
FOODS_3_048_TX_1_evaluation,103.0,6.0,73.0,0.08333333333333333,105.0,champion
FOODS_3_057_TX_1_evaluation,46.0,2.0,36.0,0.08333333333333333,38.0,champion
FOODS_3_077_CA_1_evaluation,1981.0,325.0,356.0,0.4166666666666667,1029.0,champion
