id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_3_299_WI_1_evaluation,46.0,2.0,36.0,0.25,78.0,champion
FOODS_3_304_TX_1_evaluation,44.0,0.0,44.0,0.0,48.0,champion
FOODS_3_308_TX_1_evaluation,70.0,14.0,0.0,0.75,38.0,champion
FOODS_3_314_CA_1_evaluation,30.0,5.0,5.0,0.5,48.0,champion
FOODS_3_321_TX_1_evaluation,58.0,0.0,58.0,0.0,126.0,champion
FOODS_3_322_WI_1_evaluation,23.0,0.0,23.0,0.0,13.0,champion
FOODS_3_331_CA_1_evaluation,43.0,5.0,18.0,0.5,31.0,champion
FOODS_3_335_TX_1_evaluation,31.0,0.0,31.0,0.0,17.0,champion
FOODS_3_338_CA_1_evaluation,16.0,2.0,6.0,0.5,16.0,champion
FOODS_3_344_TX_1_evaluation,12.0,0.0,12.0,0.0,20.0,champion
FOODS_3_346_CA_1_evaluation,83.0,0.0,83.0,0.0,97.0,champion
FOODS_3_361_CA_1_evaluation,22.0,1.0,17.0,0.25,24.0,champion
FOODS_3_363_TX_1_evaluation,79.0,0.0,79.0,0.0,49.0,champion
FOODS_3_364_CA_1_evaluation,26.0,4.0,6.0,0.5,10.0,champion
FOODS_3_373_TX_1_evaluation,14.0,0.0,14.0,0.0,6.0,champion
FOODS_3_376_CA_1_evaluation,163.0,0.0,163.0,0.0,185.0,champion
FOODS_3_376_WI_1_evaluation,72.0,0.0,72.0,0.0,84.0,champion
FOODS_3_379_WI_1_evaluation,21.0,0.0,21.0,0.0,63.0,champion
FOODS_3_381_CA_1_evaluation,109.0,20.0,9.0,0.75,63.0,champion
FOODS_3_384_WI_1_evaluation,5.0,0.0,5.0,0.0,11.0,champion
FOODS_3_387_TX_1_evaluation,16.0,0.0,16.0,0.0,20.0,champion
FOODS_3_388_TX_1_evaluation,23.0,0.0,23.0,0.0,17.0,champion
FOODS_3_390_CA_1_evaluation,9.0,0.0,9.0,0.0,47.0,champion
FOODS_3_391_TX_1_evaluation,32.0,0.0,32.0,0.0,8.0,champion
FOODS_3_397_CA_1_evaluation,25.0,0.0,25.0,0.0,3.0,champion
FOODS_3_398_WI_1_evaluation,10.0,0.0,10.0,0.0,22.0,champion
FOODS_3_401_WI_1_evaluation,15.0,0.0,15.0,0.0,21.0,champion
FOODS_3_407_CA_1_evaluation,41.0,0.0,41.0,0.0,95.0,champion
FOODS_3_412_CA_1_evaluation,126.0,0.0,126.0,0.0,74.0,champion
FOODS_3_412_WI_1_evaluation,93.0,0.0,93.0,0.0,107.0,champion
FOODS_3_417_CA_1_evaluation,38.0,5.0,13.0,0.25,40.0,champion
FOODS_3_419_CA_1_evaluation,91.0,16.0,11.0,0.5,33.0,champion
FOODS_3_424_WI_1_evaluation,17.0,0.0,17.0,0.0,23.0,champion
FOODS_3_426_CA_1_evaluation,46.0,6.0,16.0,0.25,22.0,champion
FOODS_3_428_WI_1_evaluation,15.0,0.0,15.0,0.0,21.0,champion
FOODS_3_430_WI_1_evaluation,39.0,6.0,9.0,0.25,21.0,champion
FOODS_3_434_TX_1_evaluation,34.0,0.0,34.0,0.0,6.0,champion
FOODS_3_436_CA_1_evaluation,24.0,0.0,24.0,0.0,12.0,champion
FOODS_3_437_WI_1_evaluation,55.0,11.0,0.0,1.0,51.0,champion
FOODS_3_448_CA_1_evaluation,290.0,58.0,0.0,1.0,98.0,champion
FOODS_3_449_TX_1_evaluation,53.0,0.0,53.0,0.0,139.0,champion
FOODS_3_453_WI_1_evaluation,23.0,3.0,8.0,0.25,23.0,champion
FOODS_3_455_WI_1_evaluation,44.0,0.0,44.0,0.0,24.0,champion
FOODS_3_459_CA_1_evaluation,73.0,0.0,73.0,0.0,51.0,champion
FOODS_3_462_WI_1_evaluation,78.0,0.0,78.0,0.0,122.0,champion
FOODS_3_472_CA_1_evaluation,33.0,4.0,13.0,0.25,15.0,champion
FOODS_3_476_WI_1_evaluation,27.0,0.0,27.0,0.0,45.0,champion
FOODS_3_482_WI_1_evaluation,22.0,0.0,22.0,0.0,26.0,champion
FOODS_3_485_CA_1_evaluation,117.0,20.0,17.0,0.5,103.0,champion
FOODS_3_486_WI_1_evaluation,23.0,2.0,13.0,0.25,17.0,champion
FOODS_3_489_WI_1_evaluation,52.0,7.0,17.0,0.25,86.0,champion
FOODS_3_494_TX_1_evaluation,12.0,0.0,12.0,0.0,0.0,champion
FOODS_3_509_TX_1_evaluation,10.0,0.0,10.0,0.0,14.0,champion
FOODS_3_512_WI_1_evaluation,12.0,1.0,7.0,0.25,10.0,champion
FOODS_3_521_CA_1_evaluation,15.0,0.0,15.0,0.0,37.0,champion
FOODS_3_521_WI_1_evaluation,8.0,0.0,8.0,0.0,12.0,champion
FOODS_3_534_WI_1_evaluation,11.0,0.0,11.0,0.0,37.0,champion
FOODS_3_536_TX_1_evaluation,28.0,4.0,8.0,0.25,12.0,champion
FOODS_3_538_TX_1_evaluation,18.0,0.0,18.0,0.0,22.0,champion
FOODS_3_539_WI_1_evaluation,13.0,0.0,13.0,0.0,19.0,champion
FOODS_3_548_TX_1_evaluation,4.0,0.0,4.0,0.0,0.0,champion
FOODS_3_577_TX_1_evaluation,24.0,3.0,9.0,0.25,22.0,champion
FOODS_3_583_CA_1_evaluation,19.0,0.0,19.0,0.0,41.0,champion
FOODS_3_590_TX_1_evaluation,51.0,0.0,51.0,0.0,73.0,champion
FOODS_3_590_WI_1_evaluation,27.0,2.0,17.0,0.25,49.0,champion
FOODS_3_596_WI_1_evaluation,66.0,8.0,26.0,0.25,54.0,champion
FOODS_3_597_WI_1_evaluation,16.0,0.0,16.0,0.0,12.0,champion
FOODS_3_599_TX_1_evaluation,15.0,0.0,15.0,0.0,5.0,champion
