id,arm,total_cost
HOUSEHOLD_1_064_TX_1_evaluation,treatment,114.0
HOUSEHOLD_1_071_WI_1_evaluation,treatment,141.0
HOUSEHOLD_1_087_WI_1_evaluation,treatment,138.0
HOUSEHOLD_1_088_CA_1_evaluation,treatment,176.0
HOUSEHOLD_1_109_CA_1_evaluation,treatment,233.0
HOUSEHOLD_1_145_CA_1_evaluation,treatment,280.0
HOUSEHOLD_1_145_TX_1_evaluation,treatment,230.0
HOUSEHOLD_1_154_CA_1_evaluation,treatment,150.0
HOUSEHOLD_1_157_TX_1_evaluation,treatment,217.0
HOUSEHOLD_1_171_CA_1_evaluation,treatment,122.0
HOUSEHOLD_1_188_CA_1_evaluation,treatment,150.0
HOUSEHOLD_1_195_TX_1_evaluation,treatment,107.0
HOUSEHOLD_1_196_WI_1_evaluation,treatment,224.0
HOUSEHOLD_1_200_TX_1_evaluation,treatment,159.0
HOUSEHOLD_1_205_TX_1_evaluation,treatment,221.0
HOUSEHOLD_1_209_TX_1_evaluation,treatment,28.0
HOUSEHOLD_1_211_CA_1_evaluation,treatment,90.0
HOUSEHOLD_1_215_WI_1_evaluation,treatment,187.0
HOUSEHOLD_1_232_CA_1_evaluation,treatment,94.0
HOUSEHOLD_1_237_WI_1_evaluation,treatment,177.0
HOUSEHOLD_1_249_TX_1_evaluation,treatment,108.0
HOUSEHOLD_1_263_TX_1_evaluation,treatment,163.0
HOUSEHOLD_1_264_WI_1_evaluation,treatment,113.0
HOUSEHOLD_1_268_CA_1_evaluation,treatment,105.0
HOUSEHOLD_1_268_WI_1_evaluation,treatment,95.0
HOUSEHOLD_1_270_WI_1_evaluation,treatment,104.0
HOUSEHOLD_1_271_TX_1_evaluation,treatment,155.0
HOUSEHOLD_1_275_TX_1_evaluation,treatment,309.0
HOUSEHOLD_1_297_TX_1_evaluation,treatment,40.0
HOUSEHOLD_1_301_CA_1_evaluation,treatment,222.0
HOUSEHOLD_1_303_TX_1_evaluation,treatment,645.0
HOUSEHOLD_1_313_WI_1_evaluation,treatment,184.0
HOUSEHOLD_1_314_TX_1_evaluation,treatment,128.0
HOUSEHOLD_1_315_WI_1_evaluation,treatment,89.0
HOUSEHOLD_1_316_CA_1_evaluation,treatment,214.0
HOUSEHOLD_1_322_WI_1_evaluation,treatment,170.0
HOUSEHOLD_1_325_CA_1_evaluation,treatment,99.0
HOUSEHOLD_1_325_WI_1_evaluation,treatment,117.0
HOUSEHOLD_1_335_CA_1_evaluation,treatment,68.0
HOUSEHOLD_1_336_WI_1_evaluation,treatment,83.0
HOUSEHOLD_1_337_TX_1_evaluation,treatment,91.0
