id,arm,total_cost
HOUSEHOLD_2_208_TX_1_evaluation,control,79.0
HOUSEHOLD_2_213_CA_1_evaluation,control,255.0
HOUSEHOLD_2_222_TX_1_evaluation,control,146.0
HOUSEHOLD_2_224_WI_1_evaluation,control,85.0
HOUSEHOLD_2_225_WI_1_evaluation,control,210.0
HOUSEHOLD_2_241_CA_1_evaluation,control,171.0
HOUSEHOLD_2_248_TX_1_evaluation,control,182.0
HOUSEHOLD_2_250_CA_1_evaluation,control,95.0
HOUSEHOLD_2_251_WI_1_evaluation,control,106.0
HOUSEHOLD_2_262_TX_1_evaluation,control,93.0
HOUSEHOLD_2_263_CA_1_evaluation,control,83.0
HOUSEHOLD_2_265_TX_1_evaluation,control,78.0
HOUSEHOLD_2_271_WI_1_evaluation,control,85.0
HOUSEHOLD_2_272_TX_1_evaluation,control,74.0
HOUSEHOLD_2_288_CA_1_evaluation,control,112.0
HOUSEHOLD_2_302_WI_1_evaluation,control,79.0
HOUSEHOLD_2_318_CA_1_evaluation,control,45.0
HOUSEHOLD_2_338_TX_1_evaluation,control,45.0
HOUSEHOLD_2_344_CA_1_evaluation,control,203.0
HOUSEHOLD_2_346_WI_1_evaluation,control,79.0
HOUSEHOLD_2_349_CA_1_evaluation,control,191.0
HOUSEHOLD_2_350_CA_1_evaluation,control,151.0
HOUSEHOLD_2_368_WI_1_evaluation,control,88.0
HOUSEHOLD_2_378_CA_1_evaluation,control,102.0
HOUSEHOLD_2_381_CA_1_evaluation,control,82.0
HOUSEHOLD_2_392_WI_1_evaluation,control,35.0
HOUSEHOLD_2_414_TX_1_evaluation,control,142.0
HOUSEHOLD_2_424_WI_1_evaluation,control,107.0
HOUSEHOLD_2_439_TX_1_evaluation,control,132.0
HOUSEHOLD_2_442_CA_1_evaluation,control,170.0
HOUSEHOLD_2_457_CA_1_evaluation,control,106.0
HOUSEHOLD_2_461_TX_1_evaluation,control,85.0
HOUSEHOLD_2_476_WI_1_evaluation,control,84.0
HOUSEHOLD_2_489_WI_1_evaluation,control,35.0
HOUSEHOLD_2_497_CA_1_evaluation,control,84.0
HOUSEHOLD_2_498_CA_1_evaluation,control,191.0
HOUSEHOLD_2_499_TX_1_evaluation,control,100.0
HOUSEHOLD_2_501_TX_1_evaluation,control,86.0
